stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000027335,9606.ENSP00000398632,CDH17,CD44,9606,0.531,0,0,0.0,0.0,0.0,0.0,0.531
9606.ENSP00000027335,9606.ENSP00000331736,CDH17,SELE,9606,0.597,0,0,0.0,0.0,0.049,0.0,0.594
9606.ENSP00000027335,9606.ENSP00000489597,CDH17,PTPN11,9606,0.636,0,0,0.0,0.042,0.102,0.0,0.611
9606.ENSP00000027335,9606.ENSP00000497290,CDH17,CDH5,9606,0.84,0,0,0.0,0.0,0.0,0.54,0.667
9606.ENSP00000027335,9606.ENSP00000263923,CDH17,KDR,9606,0.991,0,0,0.0,0.0,0.045,0.0,0.991
9606.ENSP00000027335,9606.ENSP00000457421,CDH17,PECAM1,9606,0.995,0,0,0.0,0.0,0.045,0.0,0.995
9606.ENSP00000027335,9606.ENSP00000495360,CDH17,CTNNB1,9606,0.999,0,0,0.0,0.0,0.133,0.54,0.999
9606.ENSP00000226279,9606.ENSP00000479536,CD38,CD177,9606,0.484,0,0,0.0,0.043,0.0,0.0,0.483
9606.ENSP00000226279,9606.ENSP00000331736,CD38,SELE,9606,0.636,0,0,0.0,0.068,0.0,0.0,0.626
9606.ENSP00000226279,9606.ENSP00000398632,CD38,CD44,9606,0.782,0,0,0.0,0.109,0.0,0.0,0.765
9606.ENSP00000226279,9606.ENSP00000457421,CD38,PECAM1,9606,0.992,0,0,0.0,0.08,0.0,0.0,0.992
9606.ENSP00000263923,9606.ENSP00000398632,KDR,CD44,9606,0.604,0,0,0.0,0.06,0.0,0.0,0.596
9606.ENSP00000263923,9606.ENSP00000331736,KDR,SELE,9606,0.62,0,0,0.0,0.128,0.045,0.0,0.581
9606.ENSP00000263923,9606.ENSP00000489597,KDR,PTPN11,9606,0.919,0,0,0.0,0.06,0.402,0.0,0.867
9606.ENSP00000263923,9606.ENSP00000391592,KDR,PTPN6,9606,0.972,0,0,0.0,0.06,0.688,0.9,0.184
9606.ENSP00000263923,9606.ENSP00000495360,KDR,CTNNB1,9606,0.996,0,0,0.0,0.095,0.0,0.8,0.981
9606.ENSP00000263923,9606.ENSP00000497290,KDR,CDH5,9606,0.999,0,0,0.0,0.482,0.63,0.8,0.998
9606.ENSP00000263923,9606.ENSP00000457421,KDR,PECAM1,9606,0.999,0,0,0.0,0.128,0.045,0.8,0.999
9606.ENSP00000331736,9606.ENSP00000489597,SELE,PTPN11,9606,0.436,0,0,0.0,0.085,0.314,0.0,0.174
9606.ENSP00000331736,9606.ENSP00000457421,SELE,PECAM1,9606,0.959,0,0,0.0,0.098,0.091,0.0,0.954
9606.ENSP00000331736,9606.ENSP00000497290,SELE,CDH5,9606,0.98,0,0,0.0,0.2,0.049,0.0,0.977
9606.ENSP00000331736,9606.ENSP00000398632,SELE,CD44,9606,0.997,0,0,0.0,0.067,0.304,0.5,0.993
9606.ENSP00000391592,9606.ENSP00000489597,PTPN6,PTPN11,9606,0.95,0,0,0.064,0.042,0.079,0.9,0.497
9606.ENSP00000391592,9606.ENSP00000457421,PTPN6,PECAM1,9606,0.979,0,0,0.0,0.148,0.612,0.9,0.457
9606.ENSP00000398632,9606.ENSP00000489597,CD44,PTPN11,9606,0.581,0,0,0.0,0.082,0.046,0.0,0.559
9606.ENSP00000398632,9606.ENSP00000497290,CD44,CDH5,9606,0.596,0,0,0.0,0.0,0.0,0.0,0.596
9606.ENSP00000398632,9606.ENSP00000495360,CD44,CTNNB1,9606,0.846,0,0,0.0,0.058,0.0,0.0,0.843
9606.ENSP00000398632,9606.ENSP00000457421,CD44,PECAM1,9606,0.949,0,0,0.0,0.099,0.0,0.0,0.946
9606.ENSP00000457421,9606.ENSP00000495360,PECAM1,CTNNB1,9606,0.998,0,0,0.0,0.067,0.606,0.9,0.963
9606.ENSP00000457421,9606.ENSP00000479536,PECAM1,CD177,9606,0.998,0,0,0.0,0.053,0.0,0.9,0.986
9606.ENSP00000457421,9606.ENSP00000497290,PECAM1,CDH5,9606,0.999,0,0,0.0,0.501,0.045,0.8,0.999
9606.ENSP00000457421,9606.ENSP00000489597,PECAM1,PTPN11,9606,0.999,0,0,0.0,0.084,0.837,0.9,0.973
9606.ENSP00000489597,9606.ENSP00000497290,PTPN11,CDH5,9606,0.55,0,0,0.0,0.042,0.337,0.0,0.349
9606.ENSP00000489597,9606.ENSP00000495360,PTPN11,CTNNB1,9606,0.902,0,0,0.0,0.055,0.297,0.0,0.864
9606.ENSP00000495360,9606.ENSP00000497290,CTNNB1,CDH5,9606,0.999,0,0,0.0,0.0,0.886,0.9,0.995
9606.ENSP00000245919,9606.ENSP00000264110,FOSB,ATF2,9606,0.68,0,0,0.0,0.0,0.624,0.0,0.184
9606.ENSP00000245919,9606.ENSP00000263253,FOSB,EP300,9606,0.735,0,0,0.0,0.054,0.294,0.5,0.3
9606.ENSP00000245919,9606.ENSP00000344352,FOSB,ATF3,9606,0.941,0,0,0.0,0.46,0.0,0.0,0.895
9606.ENSP00000245919,9606.ENSP00000378974,FOSB,MAPK8,9606,0.945,0,0,0.0,0.0,0.166,0.9,0.4
9606.ENSP00000245919,9606.ENSP00000310170,FOSB,FOSL1,9606,0.998,0,0,0.072,0.1,0.0,0.9,0.985
9606.ENSP00000245919,9606.ENSP00000264716,FOSB,FOSL2,9606,0.998,0,0,0.0,0.176,0.0,0.9,0.984
9606.ENSP00000245919,9606.ENSP00000360266,FOSB,JUN,9606,0.999,0,0,0.0,0.78,0.807,0.9,0.997
9606.ENSP00000245919,9606.ENSP00000303315,FOSB,JUNB,9606,0.999,0,0,0.0,0.659,0.728,0.9,0.996
9606.ENSP00000245919,9606.ENSP00000252818,FOSB,JUND,9606,0.999,0,0,0.0,0.173,0.964,0.9,0.998
9606.ENSP00000245919,9606.ENSP00000306245,FOSB,FOS,9606,0.999,0,0,0.066,0.826,0.359,0.9,0.984
9606.ENSP00000252818,9606.ENSP00000264110,JUND,ATF2,9606,0.895,0,0,0.0,0.06,0.863,0.0,0.254
9606.ENSP00000252818,9606.ENSP00000263253,JUND,EP300,9606,0.933,0,0,0.0,0.049,0.643,0.5,0.654
9606.ENSP00000252818,9606.ENSP00000344352,JUND,ATF3,9606,0.994,0,0,0.0,0.153,0.684,0.0,0.98
9606.ENSP00000252818,9606.ENSP00000378974,JUND,MAPK8,9606,0.995,0,0,0.0,0.049,0.701,0.9,0.847
9606.ENSP00000252818,9606.ENSP00000310170,JUND,FOSL1,9606,0.999,0,0,0.0,0.062,0.76,0.9,0.998
9606.ENSP00000252818,9606.ENSP00000303315,JUND,JUNB,9606,0.999,0,0,0.067,0.258,0.704,0.9,0.984
9606.ENSP00000252818,9606.ENSP00000360266,JUND,JUN,9606,0.999,0,0,0.054,0.163,0.86,0.9,0.983
9606.ENSP00000252818,9606.ENSP00000306245,JUND,FOS,9606,0.999,0,0,0.0,0.155,0.907,0.9,0.998
9606.ENSP00000252818,9606.ENSP00000264716,JUND,FOSL2,9606,0.999,0,0,0.0,0.1,0.872,0.9,0.999
9606.ENSP00000263253,9606.ENSP00000264716,EP300,FOSL2,9606,0.542,0,0,0.0,0.054,0.3,0.0,0.364
9606.ENSP00000263253,9606.ENSP00000344352,EP300,ATF3,9606,0.624,0,0,0.0,0.053,0.045,0.0,0.617
9606.ENSP00000263253,9606.ENSP00000378974,EP300,MAPK8,9606,0.7,0,0,0.0,0.082,0.292,0.0,0.576
9606.ENSP00000263253,9606.ENSP00000310170,EP300,FOSL1,9606,0.803,0,0,0.0,0.053,0.512,0.0,0.608
9606.ENSP00000263253,9606.ENSP00000303315,EP300,JUNB,9606,0.855,0,0,0.0,0.083,0.643,0.0,0.592
9606.ENSP00000263253,9606.ENSP00000306245,EP300,FOS,9606,0.964,0,0,0.0,0.067,0.74,0.5,0.737
9606.ENSP00000263253,9606.ENSP00000264110,EP300,ATF2,9606,0.976,0,0,0.0,0.119,0.516,0.8,0.757
9606.ENSP00000263253,9606.ENSP00000360266,EP300,JUN,9606,0.999,0,0,0.0,0.044,0.885,0.5,0.991
9606.ENSP00000264110,9606.ENSP00000310170,ATF2,FOSL1,9606,0.664,0,0,0.0,0.0,0.603,0.0,0.189
9606.ENSP00000264110,9606.ENSP00000344352,ATF2,ATF3,9606,0.758,0,0,0.0,0.044,0.697,0.0,0.231
9606.ENSP00000264110,9606.ENSP00000264716,ATF2,FOSL2,9606,0.824,0,0,0.0,0.044,0.813,0.0,0.097
9606.ENSP00000264110,9606.ENSP00000303315,ATF2,JUNB,9606,0.886,0,0,0.0,0.06,0.861,0.0,0.2
9606.ENSP00000264110,9606.ENSP00000306245,ATF2,FOS,9606,0.99,0,0,0.0,0.0,0.881,0.5,0.853
9606.ENSP00000264110,9606.ENSP00000378974,ATF2,MAPK8,9606,0.998,0,0,0.0,0.102,0.992,0.4,0.722
9606.ENSP00000264110,9606.ENSP00000360266,ATF2,JUN,9606,0.999,0,0,0.0,0.061,0.993,0.9,0.989
9606.ENSP00000264716,9606.ENSP00000344352,FOSL2,ATF3,9606,0.672,0,0,0.0,0.19,0.24,0.0,0.509
9606.ENSP00000264716,9606.ENSP00000378974,FOSL2,MAPK8,9606,0.946,0,0,0.0,0.054,0.174,0.9,0.397
9606.ENSP00000264716,9606.ENSP00000306245,FOSL2,FOS,9606,0.998,0,0,0.0,0.132,0.0,0.9,0.984
9606.ENSP00000264716,9606.ENSP00000310170,FOSL2,FOSL1,9606,0.998,0,0,0.0,0.085,0.0,0.9,0.984
9606.ENSP00000264716,9606.ENSP00000303315,FOSL2,JUNB,9606,0.999,0,0,0.0,0.224,0.88,0.9,0.996
9606.ENSP00000264716,9606.ENSP00000360266,FOSL2,JUN,9606,0.999,0,0,0.0,0.164,0.956,0.9,0.998
9606.ENSP00000303315,9606.ENSP00000344352,JUNB,ATF3,9606,0.964,0,0,0.0,0.404,0.774,0.0,0.754
9606.ENSP00000303315,9606.ENSP00000378974,JUNB,MAPK8,9606,0.973,0,0,0.0,0.055,0.568,0.9,0.436
9606.ENSP00000303315,9606.ENSP00000360266,JUNB,JUN,9606,0.999,0,0,0.0,0.543,0.639,0.9,0.983
9606.ENSP00000303315,9606.ENSP00000310170,JUNB,FOSL1,9606,0.999,0,0,0.0,0.101,0.83,0.9,0.996
9606.ENSP00000303315,9606.ENSP00000306245,JUNB,FOS,9606,0.999,0,0,0.0,0.809,0.907,0.9,0.995
9606.ENSP00000306245,9606.ENSP00000378974,FOS,MAPK8,9606,0.986,0,0,0.0,0.0,0.174,0.9,0.849
9606.ENSP00000306245,9606.ENSP00000344352,FOS,ATF3,9606,0.994,0,0,0.0,0.47,0.353,0.0,0.984
9606.ENSP00000306245,9606.ENSP00000310170,FOS,FOSL1,9606,0.998,0,0,0.0,0.048,0.0,0.9,0.984
9606.ENSP00000306245,9606.ENSP00000360266,FOS,JUN,9606,0.999,0,0,0.0,0.69,0.999,0.9,0.999
9606.ENSP00000310170,9606.ENSP00000344352,FOSL1,ATF3,9606,0.88,0,0,0.0,0.07,0.193,0.0,0.853
9606.ENSP00000310170,9606.ENSP00000378974,FOSL1,MAPK8,9606,0.948,0,0,0.0,0.0,0.166,0.9,0.429
9606.ENSP00000310170,9606.ENSP00000360266,FOSL1,JUN,9606,0.999,0,0,0.0,0.09,0.872,0.9,0.996
9606.ENSP00000344352,9606.ENSP00000378974,ATF3,MAPK8,9606,0.757,0,0,0.0,0.0,0.166,0.0,0.72
9606.ENSP00000344352,9606.ENSP00000360266,ATF3,JUN,9606,0.999,0,0,0.0,0.55,0.931,0.0,0.995
9606.ENSP00000360266,9606.ENSP00000378974,JUN,MAPK8,9606,0.999,0,0,0.0,0.049,0.997,0.9,0.978
9606.ENSP00000222005,9606.ENSP00000265734,CDC37,CDK6,9606,0.964,0,0,0.0,0.042,0.712,0.0,0.883
9606.ENSP00000222005,9606.ENSP00000360609,CDC37,HSP90AB1,9606,0.999,0,0,0.0,0.155,0.992,0.8,0.998
9606.ENSP00000222005,9606.ENSP00000257904,CDC37,CDK4,9606,0.999,0,0,0.0,0.065,0.989,0.0,0.996
9606.ENSP00000227507,9606.ENSP00000360609,CCND1,HSP90AB1,9606,0.711,0,0,0.0,0.05,0.067,0.0,0.701
9606.ENSP00000227507,9606.ENSP00000262643,CCND1,CCNE1,9606,0.841,0,0,0.0,0.104,0.0,0.5,0.674
9606.ENSP00000227507,9606.ENSP00000261254,CCND1,CCND2,9606,0.942,0,0,0.058,0.053,0.0,0.9,0.429
9606.ENSP00000227507,9606.ENSP00000276925,CCND1,CDKN2B,9606,0.974,0,0,0.0,0.0,0.0,0.9,0.758
9606.ENSP00000227507,9606.ENSP00000262662,CCND1,CDKN2C,9606,0.989,0,0,0.0,0.0,0.627,0.9,0.74
9606.ENSP00000227507,9606.ENSP00000267163,CCND1,RB1,9606,0.998,0,0,0.0,0.0,0.932,0.9,0.831
9606.ENSP00000227507,9606.ENSP00000228872,CCND1,CDKN1B,9606,0.999,0,0,0.0,0.098,0.991,0.9,0.992
9606.ENSP00000227507,9606.ENSP00000257904,CCND1,CDK4,9606,0.999,0,0,0.0,0.131,0.999,0.9,0.999
9606.ENSP00000227507,9606.ENSP00000265734,CCND1,CDK6,9606,0.999,0,0,0.0,0.112,0.995,0.9,0.998
9606.ENSP00000228872,9606.ENSP00000267163,CDKN1B,RB1,9606,0.818,0,0,0.0,0.049,0.096,0.5,0.626
9606.ENSP00000228872,9606.ENSP00000276925,CDKN1B,CDKN2B,9606,0.859,0,0,0.0,0.0,0.049,0.5,0.727
9606.ENSP00000228872,9606.ENSP00000262662,CDKN1B,CDKN2C,9606,0.956,0,0,0.0,0.047,0.049,0.5,0.915
9606.ENSP00000228872,9606.ENSP00000257904,CDKN1B,CDK4,9606,0.999,0,0,0.0,0.087,0.999,0.9,0.996
9606.ENSP00000228872,9606.ENSP00000265734,CDKN1B,CDK6,9606,0.999,0,0,0.0,0.087,0.994,0.9,0.983
9606.ENSP00000228872,9606.ENSP00000262643,CDKN1B,CCNE1,9606,0.999,0,0,0.0,0.105,0.996,0.9,0.842
